comparison,direction,task,task_display,system_a,system_a_label,system_b,system_b_label,macro_f1_a,macro_f1_b,delta_macro_f1,ci95_low,ci95_high,ci_excludes_zero
TF-IDF + LR: translated vs native,translated - native,task_a,Task A,baseline|tfidf_logreg|translated,TF-IDF + LR | translated | 5-fold OOF,baseline|tfidf_logreg|native,TF-IDF + LR | native | 5-fold OOF,0.6707296725372732,0.5211245892548514,0.1496050832824218,0.1242084056138992,0.1751186072826385,True
TF-IDF + LR: translated vs native,translated - native,task_b,Task B,baseline|tfidf_logreg|translated,TF-IDF + LR | translated | 5-fold OOF,baseline|tfidf_logreg|native,TF-IDF + LR | native | 5-fold OOF,0.4745431655995178,0.3942554254961753,0.0802877401033425,0.0371973909437656,0.1269929826259613,True
TF-IDF + LR: translated vs native,translated - native,task_b_grouped,Task B.1,baseline|tfidf_logreg|translated,TF-IDF + LR | translated | 5-fold OOF,baseline|tfidf_logreg|native,TF-IDF + LR | native | 5-fold OOF,0.5482410332589983,0.4751518192706492,0.073089213988349,0.0551787592470645,0.0908360406756401,True
Multilingual embeddings + LR: translated vs native,translated - native,task_a,Task A,baseline|multilingual_embeddings|translated,Multilingual embeddings + LR | translated | 5-fold OOF,baseline|multilingual_embeddings|native,Multilingual embeddings + LR | native | 5-fold OOF,0.6567203035987922,0.6492462488324461,0.0074740547663461,-0.0127980649471282,0.0278910145163535,False
Multilingual embeddings + LR: translated vs native,translated - native,task_b,Task B,baseline|multilingual_embeddings|translated,Multilingual embeddings + LR | translated | 5-fold OOF,baseline|multilingual_embeddings|native,Multilingual embeddings + LR | native | 5-fold OOF,0.5038088513041642,0.4952518574804352,0.0085569938237289,-0.0225158393383026,0.0390727899968624,False
Multilingual embeddings + LR: translated vs native,translated - native,task_b_grouped,Task B.1,baseline|multilingual_embeddings|translated,Multilingual embeddings + LR | translated | 5-fold OOF,baseline|multilingual_embeddings|native,Multilingual embeddings + LR | native | 5-fold OOF,0.5923142214645931,0.5748476814303047,0.0174665400342883,-0.0179780319333076,0.0558242559432983,False
