language,n,model,shot,native_macro_f1,translated_macro_f1,delta_translated_minus_native
Italian,201,Qwen 3.5,zero,0.33013072954459527,0.31902463088903765,-0.011106098655557617
German,191,GPT-4.1-mini,five,0.3138958394240085,0.4824006880610654,0.1685048486370569
German,191,GPT-4.1-mini,zero,0.30796755461077713,0.41190014622474297,0.10393259161396584
German,191,GPT-4o-mini,five,0.5428563185988927,0.5706415049041609,0.02778518630526816
German,191,GPT-4o-mini,zero,0.4897131543043492,0.5630419003030468,0.0733287459986976
German,191,Gemma 4,five,0.27282331427868955,0.427266892184925,0.15444357790623542
German,191,Gemma 4,zero,0.3273931705658613,0.3732256044715642,0.04583243390570291
German,191,Qwen 3.5,five,0.36419306873414703,0.40996107724514824,0.04576800851100121
German,191,Qwen 3.5,zero,0.29286293208707004,0.31489104170340493,0.02202810961633489
Swedish,97,GPT-4.1-mini,five,0.20756494254076568,0.21799873586015997,0.010433793319394286
Swedish,97,GPT-4.1-mini,zero,0.27032332890158695,0.2873512511584801,0.017027922256893147
Swedish,97,GPT-4o-mini,five,0.2827348610126782,0.2946778711484594,0.011943010135781196
Swedish,97,GPT-4o-mini,zero,0.3578554778554779,0.38216607565011823,0.024310597794640343
Swedish,97,Gemma 4,five,0.328,0.44394522892597343,0.11594522892597342
Swedish,97,Gemma 4,zero,0.34721164613661815,0.35205786618444845,0.0048462200478303075
Swedish,97,Qwen 3.5,five,0.23255295429208472,0.2492941021242908,0.016741147832206066
Swedish,97,Qwen 3.5,zero,0.2495892739118119,0.24847738074282696,-0.0011118931689849398
Norwegian,83,GPT-4.1-mini,five,0.14938591066410614,0.14524670627744768,-0.004139204386658463
Norwegian,83,GPT-4.1-mini,zero,0.21329355316562135,0.20397407975047727,-0.00931947341514408
Norwegian,83,GPT-4o-mini,five,0.26487526487526486,0.27812631812631816,0.013251053251053302
Norwegian,83,GPT-4o-mini,zero,0.264002919175333,0.27308084929662824,0.009077930121295263
Norwegian,83,Gemma 4,five,0.19421522232081237,0.27789602765140925,0.08368080533059688
Norwegian,83,Gemma 4,zero,0.25128512353383964,0.2689763652496572,0.01769124171581754
Norwegian,83,Qwen 3.5,five,0.1843371494939439,0.19601866507085158,0.011681515576907692
Norwegian,83,Qwen 3.5,zero,0.19085098591226926,0.20370992110122543,0.012858935188956172
French,83,GPT-4.1-mini,five,0.6212641751857438,0.6256569069069069,0.004392731721163057
French,83,GPT-4.1-mini,zero,0.6009959539371303,0.6166692859762167,0.015673332039086385
French,83,GPT-4o-mini,five,0.5615867411983916,0.6157731157731158,0.054186374574724194
French,83,GPT-4o-mini,zero,0.8269993894993894,0.6537980236967941,-0.17320136580259538
French,83,Gemma 4,five,0.4017064048620851,0.4652604476133888,0.06355404275130372
French,83,Gemma 4,zero,0.39328116070276353,0.6228056154932203,0.2295244547904568
French,83,Qwen 3.5,five,0.3172374044084571,0.21629651276056885,-0.10094089164788825
French,83,Qwen 3.5,zero,0.2535042735042735,0.23496563573883159,-0.01853863776544193
Dutch,56,GPT-4.1-mini,five,0.4424603174603175,0.43562642048782774,-0.006833896972489761
Dutch,56,GPT-4.1-mini,zero,0.4820861678004536,0.4616316223459081,-0.020454545454545503
Dutch,56,GPT-4o-mini,five,0.48095238095238096,0.5532562675419819,0.07230388658960091
Dutch,56,GPT-4o-mini,zero,0.5105042016806722,0.5827647285329227,0.07226052685225048
Dutch,56,Gemma 4,five,0.39614121510673234,0.35258601048074734,-0.043555204625985
Dutch,56,Gemma 4,zero,0.5479651509726698,0.5592696848854485,0.011304533912778636
Dutch,56,Qwen 3.5,five,0.257015306122449,0.31018123667377395,0.05316593055132496
Dutch,56,Qwen 3.5,zero,0.37220379677294646,0.3897455503164691,0.017541753543522665
